The column name description is given below:

    "Cluster": Name of the galaxy cluster
    "Region": Region of the cluster (Annulus or Core) which we study and within which we measure the temperatures. Annulus refers to 0.2-0.5 R500 and Core to <0.2 R500.
    "T_eRO_full": eROSITA temperature in the 0.7-7 keV (full) band (units: keV)
    "T_eRO_full_low": Lower 1σ uncertainty of T_eRO_full (units: keV)
    "T_eRO_full_high": Upper 1σ uncertainty of T_eRO_full (units: keV)
    "T_CXO_XMM_full": Chandra or XMM-Newton temperature (depends on the used instrument, see last column) in the 0.7-7 keV band (units: keV)
    "T_CXO_XMM_full_low": Lower 1σ uncertainty of T_CXO_XMM_full (units: keV)
    "T_CXO_XMM_full_high": Upper 1σ uncertainty of T_CXO_XMM_full (units: keV)
    "T_eRO_soft": eROSITA temperature in the 0.5-4 keV (soft) band (units: keV)
    "T_eRO_soft_low": Lower 1σ uncertainty of T_eRO_soft (units: keV)
    "T_eRO_soft_high": Upper 1σ uncertainty of T_eRO_soft (units: keV)
    "T_CXO_XMM_soft": Chandra or XMM-Newton temperature in the 0.5-4 keV band (units: keV)
    "T_CXO_XMM_soft_low": Lower 1σ uncertainty of T_CXO_XMM_soft (units: keV)
    "T_CXO_XMM_soft_high": Upper 1σ uncertainty of T_CXO_XMM_soft (units: keV)
    "T_eRO_hard": eROSITA temperature in the 1.5-7 keV (hard) band (units: keV)
    "T_eRO_hard_low": Lower 1σ uncertainty of T_eRO_hard (units: keV)
    "T_eRO_hard_high": Upper 1σ uncertainty of T_eRO_hard (units: keV)
    "T_CXO_XMM_hard": Chandra or XMM-Newton temperature in the 1.5-7 keV band (units: keV)
    "T_CXO_XMM_hard_low": Lower 1σ uncertainty of T_CXO_XMM_hard (units: keV)
    "T_CXO_XMM_hard_high": Upper 1σ uncertainty of T_CXO_XMM_hard (units: keV)
    "Z_full": Best-fit metal abundance used in determination of T_eRO_full (fixed Z_full) and was constrained simultaneously with T_CXO_XMM_full, where Z_full was free to vary (units: solar abundance Z_solar)
    "Z_soft": Same as Z_full but for T_eRO_soft and T_CXO_XMM_soft (units: solar abundance Z_solar)
    "Z_hard": Same as Z_full but for T_eRO_hard and T_CXO_XMM_hard (units: solar abundance Z_solar)
    "z": Redshift of cluster
    "R500": Apparent R500 cluster radius (units: arcminutes)
    "NHtot": Total hydrogen column density as given in Willingale et al. (2013) (units: 1/cm^2)
    "Glon": Galactic longitude (units: degrees)
    "Glat": Galactic latitude (units: degrees)
    "CXO_XMM_telescope": Telescope used for measuring T_CXO_XMM values


#Note: Some cluster regions appear twice, due to the temperature having been measured with both Chandra and XMM-Newton. In such cases, the eROSITA temperature might differ for the same cluster region, since different masks were used and different fraction of the region is covered by Chandra and XMM-Newton, with the former sometimes not covering the full 0.2-0.5 R500 annulus.   

#Cluster	Region	T_eRO_full	T_eRO_full_low	T_eRO_full_high	T_CXO_XMM_full	T_CXO_XMM_full_low	T_CXO_XMM_full_high	T_eRO_soft	T_eRO_soft_low	T_eRO_soft_high	T_CXO_XMM_soft	T_CXO_XMM_soft_low	T_CXO_XMM_soft_high	T_eRO_hard	T_eRO_hard_low	T_eRO_hard_high	T_CXO_XMM_hard	T_CXO_XMM_hard_low	T_CXO_XMM_hard_high	Z_full	Z_soft	Z_hard	z	R500	Nhtot	Glon	Glat	CXO_XMM_telescope
A3667	Annulus	4.553	0.707	0.802	6.380	0.019	0.018	4.632	0.724	0.875	6.556	0.055	0.055	-	-	-	6.490	0.064	0.063	0.409	0.709	0.369	0.056	18.503	5.260	340.861	-33.392	Chandra
A3667	Core	6.540	1.046	1.590	7.110	0.071	0.042	6.568	1.131	1.969	7.392	0.064	0.064	4.366	0.996	2.659	6.541	0.060	0.060	0.498	0.982	0.443	0.056	18.503	5.260	340.861	-33.392	Chandra
A3806	Annulus	4.224	1.270	4.375	4.073	0.348	0.362	4.457	1.494	6.472	3.639	0.124	0.131	-	-	-	4.211	0.350	0.339	0.324	0.205	0.305	0.076	9.765	2.860	336.953	-45.735	XMM-Newton
A3806	Core	2.707	0.511	0.786	3.763	0.072	0.073	2.814	0.620	1.092	3.500	0.085	0.086	3.042	1.044	4.194	4.035	0.129	0.171	-	0.442	0.548	0.076	9.765	2.860	336.953	-45.735	XMM-Newton
A3809	Annulus	3.240	0.793	1.864	3.297	0.203	0.202	2.886	0.595	1.078	3.133	0.273	0.322	-	-	-	3.057	0.323	0.376	0.561	0.509	0.238	0.062	11.576	1.550	356.057	-49.524	Chandra
A3809	Core	3.573	0.761	1.284	3.061	0.034	0.035	3.431	0.717	1.254	3.058	0.179	0.203	-	-	-	2.869	0.168	0.181	0.730	0.711	0.911	0.062	11.576	1.550	356.057	-49.524	Chandra
A3822	Annulus	6.676	1.995	7.398	5.081	0.347	0.286	5.438	1.347	3.571	5.314	0.426	0.476	4.574	2.406	2.999	5.287	0.512	0.700	0.335	0.792	0.143	0.076	11.556	2.530	335.590	-46.457	Chandra
A3822	Core	3.044	0.563	0.942	5.392	0.299	0.249	2.970	0.533	0.837	5.644	0.492	0.562	-	-	-	5.178	0.446	0.480	0.508	0.519	0.594	0.076	11.556	2.530	335.590	-46.457	Chandra
A3825	Annulus	-	-	-	-	-	-	4.714	1.854	6.790	3.320	0.126	0.133	0.813	0.387	0.460	4.718	0.390	0.435	0.299	0.249	0.462	0.075	10.165	3.280	331.962	-45.782	XMM-Newton
A3827	Annulus	4.860	1.088	1.841	7.521	0.253	0.244	4.865	1.074	2.046	7.640	0.266	0.295	2.797	0.783	1.588	7.309	0.300	0.347	0.501	0.492	0.506	0.098	10.455	2.950	332.222	-46.380	Chandra
A3827	Core	7.907	3.382	10.596	7.760	0.106	0.127	7.986	3.473	11.381	7.917	0.213	0.211	-	-	-	7.535	0.233	0.250	0.516	0.629	0.501	0.098	10.455	2.950	332.222	-46.380	Chandra
A3836	Core	-	-	-	-	-	-	4.032	1.234	3.536	4.199	0.195	0.220	-	-	-	5.693	0.426	0.434	-	0.300	0.686	0.113	7.897	1.770	342.544	-50.960	XMM-Newton
A3911	Annulus	6.574	1.860	3.517	6.467	0.492	0.365	6.185	1.766	2.997	6.680	0.651	0.740	-	-	-	5.868	0.547	0.626	0.557	0.398	0.652	0.097	9.596	1.140	336.590	-55.434	Chandra
A3911	Core	3.816	1.176	2.234	8.246	0.642	0.575	3.779	1.182	2.229	7.120	0.863	1.101	1.686	0.456	1.292	7.375	0.984	1.302	0.459	0.000	0.500	0.097	9.596	1.140	336.590	-55.434	Chandra
A3921	Annulus	3.038	0.520	0.814	6.166	0.250	0.247	3.310	0.663	1.095	5.993	0.337	0.368	2.640	0.955	2.454	5.732	0.323	0.406	0.347	0.053	0.465	0.094	10.032	2.600	321.954	-47.966	Chandra
A3921	Core	3.935	0.724	1.185	6.099	0.154	0.190	4.176	0.846	1.404	6.261	0.295	0.313	2.811	0.723	1.880	5.994	0.298	0.323	0.501	0.807	0.435	0.094	10.032	2.600	321.954	-47.966	Chandra
A3998	Annulus	1.999	0.310	0.496	3.666	0.358	0.335	2.147	0.336	0.558	3.549	0.181	0.195	-	-	-	3.692	0.240	0.348	0.495	0.560	0.383	0.089	9.402	1.660	348.314	-66.443	XMM-Newton
A3998	Core	1.988	0.195	0.254	2.853	0.059	0.059	1.750	0.149	0.205	2.641	0.063	0.062	1.159	0.313	0.404	3.171	0.112	0.117	-	0.615	0.792	0.089	9.402	1.660	348.314	-66.443	XMM-Newton
A4059	Annulus	4.773	1.120	1.990	4.395	0.078	0.072	4.319	1.265	1.391	4.404	0.104	0.104	-	-	-	4.268	0.126	0.141	0.490	0.494	0.496	0.047	17.257	1.260	356.360	-76.082	Chandra
A4059	Core	3.469	0.337	0.450	4.682	0.008	0.025	-	-	-	-	-	-	-	-	-	-	-	-	0.774	-	-	0.047	17.257	1.260	356.360	-76.082	Chandra
APMCC772	Annulus	1.720	0.262	0.473	3.290	0.439	0.373	-	-	-	-	-	-	-	-	-	4.192	0.476	0.601	0.265	-	0.219	0.089	9.292	1.900	336.029	-51.363	XMM-Newton
APMCC772	Core	1.748	0.451	1.361	4.020	0.183	0.200	1.648	0.350	0.746	3.739	0.221	0.248	0.912	0.670	0.572	5.188	0.702	1.050	-	0.210	0.013	0.089	9.292	1.900	336.029	-51.363	XMM-Newton
CID28	Annulus	3.837	0.832	1.443	2.450	0.160	0.150	3.838	0.817	1.538	2.805	0.207	0.240	2.288	0.771	2.172	2.297	0.205	0.275	0.871	1.325	0.498	0.040	14.850	4.910	217.446	-33.626	Chandra
CID28	Core	2.413	0.304	0.474	2.440	0.088	0.088	2.405	0.301	0.513	2.508	0.115	0.126	1.781	0.410	0.825	2.378	0.129	0.146	1.033	1.097	1.121	0.040	14.850	4.910	217.446	-33.626	Chandra
CID36	Annulus	3.058	0.723	1.787	2.993	0.220	0.266	2.888	0.633	1.431	2.727	0.134	0.148	-	-	-	3.459	0.384	0.602	0.386	0.367	0.396	0.039	14.272	1.700	230.415	-26.019	XMM-Newton
CID36	Core	-	-	-	-	-	-	-	-	-	3.270	0.107	0.109	1.035	0.335	0.566	3.625	0.188	0.205	-	0.592	0.561	0.039	14.272	1.700	230.415	-26.019	XMM-Newton
HCG62	Annulus	1.250	0.104	0.113	1.281	0.017	0.019	1.175	0.096	0.094	1.272	0.016	0.016	-	-	-	1.024	0.124	0.170	0.335	0.337	0.098	0.015	25.447	3.810	303.621	53.669	Chandra
HCG62	Core	1.054	0.051	0.057	1.060	0.002	0.002	1.010	0.034	0.065	1.095	0.003	0.003	-	-	-	1.224	0.051	0.025	0.252	0.371	0.616	0.015	25.447	3.810	303.621	53.669	Chandra
MKW11	Annulus	1.001	0.083	0.133	1.061	0.023	0.022	0.922	0.087	0.071	0.965	0.019	0.030	-	-	-	0.813	0.353	0.297	0.285	0.438	3.680	0.022	19.019	2.270	335.015	72.245	Chandra
MKW11	Core	1.290	0.118	0.190	1.289	0.031	0.031	1.291	0.121	0.190	1.171	0.026	0.024	0.645	0.331	0.345	0.663	0.120	0.130	0.143	0.161	0.017	0.022	19.019	2.270	335.015	72.245	Chandra
MKW4	Annulus	2.266	0.345	0.561	1.727	0.041	0.036	2.260	0.365	0.674	1.728	0.052	0.060	-	-	-	1.697	0.173	0.184	0.393	0.400	0.107	0.020	25.467	1.870	276.889	62.371	Chandra
MKW4	Core	1.897	0.123	0.162	1.978	0.011	0.008	2.065	0.159	0.176	1.918	0.015	0.029	2.575	0.738	1.885	1.952	0.047	0.043	0.996	1.032	1.099	0.020	25.467	1.870	276.889	62.371	Chandra
MKW8	Annulus	-	-	-	2.853	0.066	0.104	3.818	0.697	0.940	2.964	0.085	0.087	3.113	0.980	2.033	2.790	0.088	0.089	0.447	0.491	0.697	0.026	19.899	2.680	355.495	54.791	Chandra
MKW8	Core	2.359	0.313	0.476	3.523	0.063	0.042	2.380	0.305	0.499	3.702	0.099	0.102	1.220	0.189	0.277	3.521	0.091	0.093	0.631	0.727	0.548	0.026	19.899	2.680	355.495	54.791	Chandra
MS1306.7	Core	5.957	1.841	3.912	3.515	0.161	0.168	6.954	3.112	10.342	3.292	0.174	0.188	-	-	-	4.505	0.409	0.432	-	0.779	0.648	0.084	8.545	1.880	312.143	60.940	XMM-Newton
NGC1550	Annulus	1.102	0.038	0.034	1.209	0.014	0.016	1.111	0.036	0.032	1.147	0.009	0.009	1.445	0.314	0.751	0.710	0.061	0.063	0.266	0.256	0.084	0.013	38.856	16.200	190.972	-31.847	Chandra
NGC1550	Core	1.324	0.031	0.030	1.367	0.002	0.003	1.324	0.042	0.029	1.364	0.003	0.004	1.821	0.324	0.596	1.423	0.015	0.015	0.349	0.350	0.557	0.013	38.856	16.200	190.972	-31.847	Chandra
NGC1650	Annulus	5.436	1.359	3.331	2.822	0.465	0.291	5.359	1.405	2.477	2.765	0.382	0.263	-	-	-	3.952	0.756	0.835	0.333	0.379	0.349	0.036	15.470	5.340	213.872	-34.942	XMM-Newton
NGC1650	Core	2.789	0.497	0.840	3.119	0.070	0.142	2.884	0.578	0.983	2.820	0.167	0.178	2.683	1.063	2.983	4.258	0.517	0.540	-	0.574	0.804	0.036	15.470	5.340	213.872	-34.942	XMM-Newton
NGC4325	Annulus	0.955	0.089	0.090	1.041	0.014	0.013	0.969	0.080	0.102	1.005	0.019	0.018	-	-	-	0.737	0.289	0.382	0.364	0.479	0.592	0.026	18.520	2.540	279.579	72.199	Chandra
NGC4325	Core	1.020	0.026	0.024	1.033	0.003	0.005	1.021	0.025	0.021	1.018	0.003	0.003	0.867	0.129	0.156	0.983	0.046	0.042	0.428	0.551	0.668	0.026	18.520	2.540	279.579	72.199	Chandra
NGC4636	Annulus	-	-	-	0.826	0.002	0.003	0.846	0.024	0.025	0.829	0.002	0.002	-	-	-	0.857	0.021	0.026	0.442	0.467	0.740	0.004	91.302	2.070	297.745	65.471	Chandra
NGC4636	Core	0.850	0.014	0.015	0.820	0.002	0.002	-	-	-	-	-	-	-	-	-	-	-	-	0.451	-	-	0.004	91.302	2.070	297.745	65.471	Chandra
NGC5044	Annulus	1.073	0.026	0.034	1.267	0.010	0.010	1.065	0.026	0.027	1.213	0.007	0.008	-	-	-	0.702	0.042	0.058	0.282	0.365	0.097	0.009	52.495	6.250	311.233	46.095	Chandra
NGC5044	Core	1.059	0.010	0.010	1.049	0.001	0.001	-	-	-	-	-	-	-	-	-	-	-	-	0.384	-	-	0.009	52.495	6.250	311.233	46.095	Chandra
RBS0540	Annulus	2.530	0.366	0.509	2.774	0.135	0.147	2.487	0.359	0.526	3.147	0.223	0.246	1.220	0.193	0.434	2.702	0.222	0.254	0.412	0.503	0.500	0.040	18.883	12.400	203.300	-36.161	Chandra
RBS0540	Core	2.990	0.257	0.315	3.132	0.035	0.046	3.031	0.295	0.357	3.419	0.072	0.099	3.366	0.805	1.059	2.959	0.066	0.067	0.787	1.065	0.678	0.040	18.883	12.400	203.300	-36.161	Chandra
RBS0653	Annulus	4.063	0.802	1.169	10.090	0.690	0.480	4.363	0.934	1.544	9.888	0.648	0.771	2.981	1.084	2.435	9.613	0.657	0.691	0.459	0.000	0.441	0.286	4.887	2.260	244.367	-32.130	Chandra
RBS0653	Core	5.293	1.203	1.766	7.852	0.222	0.248	4.079	0.754	1.188	7.855	0.330	0.360	5.758	2.047	6.787	7.634	0.341	0.417	0.471	0.771	0.480	0.286	4.887	2.260	244.367	-32.130	Chandra
RBS1847	Annulus	3.734	1.058	1.939	5.619	0.484	0.427	3.694	1.027	1.916	5.954	0.875	0.938	2.295	1.024	2.671	4.365	0.417	0.579	0.579	0.692	0.699	0.095	9.112	2.450	324.526	-44.980	Chandra
RBS1847	Core	3.910	0.896	1.309	4.553	0.204	0.270	4.320	1.055	1.908	4.612	0.425	0.479	2.886	0.909	2.640	4.015	0.300	0.357	0.650	0.715	0.799	0.095	9.112	2.450	324.526	-44.980	Chandra
RXCJ0340.6m0239	Annulus	1.097	0.130	0.135	1.226	0.088	0.119	1.071	0.103	0.145	1.180	0.037	0.036	0.813	0.320	0.429	2.584	0.772	1.332	0.211	0.201	0.300	0.035	15.390	7.330	189.216	-42.735	XMM-Newton
RXCJ0340.6m0239	Core	1.110	0.047	0.053	1.130	0.010	0.008	1.108	0.047	0.050	1.125	0.010	0.011	0.400	0.205	0.141	1.192	0.081	0.082	-	0.372	1.180	0.035	15.390	7.330	189.216	-42.735	XMM-Newton
RXCJ0510.7-0801	Annulus	3.529	0.701	1.158	8.638	0.626	0.492	4.186	1.088	1.638	10.198	1.043	1.192	1.659	0.559	1.255	7.353	0.629	0.722	0.607	2.681	0.602	0.220	5.628	8.880	208.598	-26.006	Chandra
RXCJ1215.4-3900	Annulus	5.435	1.982	4.302	6.790	0.550	0.350	7.065	2.966	6.848	7.466	0.735	0.892	2.261	0.717	2.242	5.976	0.550	0.630	0.359	0.390	0.394	0.114	7.363	9.760	295.335	23.326	Chandra
RXCJ1252.5-3116	Annulus	1.628	0.198	0.353	2.022	0.268	0.246	1.620	0.198	0.359	2.292	0.304	0.369	-	-	-	2.155	0.420	0.544	0.145	0.247	0.000	0.054	13.716	7.490	303.216	31.603	Chandra
RXCJ1252.5-3116	Core	2.141	0.112	0.140	2.370	0.059	0.057	2.151	0.114	0.151	2.540	0.084	0.081	2.424	0.429	0.669	2.278	0.076	0.079	0.943	1.179	0.869	0.054	13.716	7.490	303.216	31.603	Chandra
RXCJ1304.2-3030	Annulus	0.880	0.065	0.067	1.058	0.040	0.031	0.874	0.067	0.064	1.049	0.029	0.028	-	-	-	0.913	0.379	0.457	0.245	0.291	0.506	0.012	29.833	8.850	306.203	32.275	Chandra
RXCJ1304.2-3030	Core	0.908	0.038	0.035	1.003	0.011	0.012	0.896	0.043	0.038	0.983	0.012	0.011	0.600	0.235	0.248	0.883	0.148	0.200	0.411	0.423	0.520	0.012	29.833	8.850	306.203	32.275	Chandra
RXCJ1314.4m2515	Annulus	-	-	-	-	-	-	-	-	-	7.614	0.238	0.263	2.487	0.853	2.278	8.915	0.440	0.530	0.358	0.638	0.348	0.244	5.384	8.950	309.482	37.317	XMM-Newton
RXCJ1337.4m4120	Annulus	1.442	0.097	0.120	1.943	0.147	0.148	1.365	0.090	0.098	1.765	0.060	0.053	0.814	0.323	0.620	2.022	0.171	0.176	0.457	0.348	0.300	0.051	11.385	8.520	312.148	20.713	XMM-Newton
RXCJ1337.4m4120	Core	2.189	0.368	0.535	2.240	0.096	0.095	2.070	0.353	0.479	2.132	0.053	0.060	-	-	-	2.345	0.120	0.124	-	0.545	0.300	0.051	11.385	8.520	312.148	20.713	XMM-Newton
RXCJ1353.4m2753	Annulus	1.853	0.339	0.797	1.610	0.153	0.157	1.844	0.345	0.863	1.560	0.067	0.076	-	-	-	2.186	0.370	0.534	0.159	0.183	0.187	0.047	12.075	5.810	319.304	33.003	XMM-Newton
RXCJ1353.4m2753	Core	1.261	0.129	0.186	2.002	0.075	0.069	1.288	0.128	0.254	1.973	0.095	0.096	-	-	-	2.598	0.261	0.225	-	0.483	0.804	0.047	12.075	5.810	319.304	33.003	XMM-Newton
RXCJ1504.1-0248	Annulus	6.847	1.756	9.602	10.308	0.452	0.384	6.673	1.776	5.842	11.599	0.709	0.732	-	-	-	9.502	0.465	0.609	0.404	0.850	0.450	0.215	7.267	8.390	355.076	46.198	Chandra
RXCJ1504.1-0248	Core	6.220	0.860	1.170	7.322	0.080	0.072	6.233	0.939	1.381	8.310	0.124	0.123	-	-	-	6.326	0.069	0.069	0.417	0.797	0.446	0.215	7.267	8.390	355.076	46.198	Chandra
RXCJ1524.2-3154	Annulus	4.373	1.584	3.116	4.195	0.206	0.165	4.449	1.708	3.548	3.982	0.209	0.228	-	-	-	4.356	0.304	0.370	0.367	0.384	0.244	0.103	9.217	15.400	337.056	20.659	Chandra
RXCJ1524.2-3154	Core	2.725	0.277	0.342	3.701	0.046	0.042	2.778	0.307	0.413	4.012	0.074	0.076	2.133	0.375	0.566	3.512	0.070	0.071	0.725	0.989	0.609	0.103	9.217	15.400	337.056	20.659	Chandra
RXCJ1539.5-8335	Annulus	4.043	1.135	1.720	3.610	0.350	0.310	4.320	1.280	1.750	4.689	0.854	1.058	-	-	-	3.307	0.524	0.792	0.318	1.100	0.724	0.064	12.191	10.700	307.564	-22.294	Chandra
RXCJ1539.5-8335	Core	3.228	0.262	0.359	3.991	0.099	0.094	3.329	0.372	0.403	5.338	0.257	0.262	3.101	0.650	0.661	3.494	0.127	0.143	0.655	2.295	0.486	0.064	12.191	10.700	307.564	-22.294	Chandra
RXCJ1558.3-1410	Annulus	4.309	1.133	1.405	5.400	0.230	0.170	3.951	0.967	1.452	5.240	0.238	0.256	-	-	-	5.338	0.291	0.322	0.619	0.586	0.659	0.097	9.977	16.800	356.517	28.672	Chandra
RXCJ1558.3-1410	Core	2.681	0.279	0.369	4.448	0.057	0.044	2.842	0.338	0.463	4.382	0.086	0.087	2.066	0.325	0.577	4.546	0.099	0.115	0.689	0.750	0.578	0.097	9.977	16.800	356.517	28.672	Chandra
RXCJ1926.9m5342	Annulus	1.754	0.324	0.821	1.270	0.116	0.095	-	-	-	-	-	-	-	-	-	1.188	0.261	0.617	0.266	-	0.300	0.057	11.940	5.000	343.814	-26.671	XMM-Newton
RXCJ1926.9m5342	Core	1.789	0.176	0.276	1.581	0.263	0.202	1.770	0.183	0.291	1.562	0.266	0.266	1.485	0.366	0.927	1.720	0.104	0.076	-	0.343	0.494	0.057	11.940	5.000	343.814	-26.671	XMM-Newton
RXCJ2104.9m5149	Annulus	1.343	0.145	0.248	1.918	0.208	0.213	1.345	0.133	0.213	1.816	0.089	0.099	-	-	-	2.080	0.264	0.295	0.421	0.348	1.393	0.049	13.229	2.800	346.394	-41.377	XMM-Newton
RXCJ2104.9m5149	Core	2.109	0.190	0.265	2.265	0.050	0.050	3.423	0.683	1.067	2.143	0.031	0.033	1.688	0.359	0.935	2.330	0.060	0.062	-	0.691	0.927	0.049	13.229	2.800	346.394	-41.377	XMM-Newton
RXCJ2124.3m7446	Annulus	-	-	-	-	-	-	-	-	-	-	-	-	1.928	0.752	2.686	2.939	0.274	0.391	0.351	-	0.853	0.062	10.741	7.150	317.663	-35.777	XMM-Newton
RXCJ2124.3m7446	Core	2.140	0.233	0.349	3.068	0.062	0.065	2.261	0.261	0.404	3.454	0.107	0.107	1.328	0.292	0.890	2.995	0.137	0.157	-	1.390	0.300	0.062	10.741	7.150	317.663	-35.777	XMM-Newton
RXJ1347.5-1145	Core	9.407	2.225	6.530	17.357	0.573	0.487	9.570	2.707	5.033	17.735	0.916	0.912	5.361	1.614	2.235	16.395	0.724	0.709	0.387	0.000	0.397	0.447	4.100	5.820	324.036	48.812	Chandra
S0112	Annulus	3.351	1.093	3.333	3.134	0.301	0.284	2.544	0.579	1.236	2.685	0.122	0.152	-	-	-	5.204	0.658	0.681	0.351	0.263	0.901	0.066	10.668	2.370	301.951	-50.304	XMM-Newton
S0112	Core	2.340	0.527	3.287	3.249	0.098	0.096	-	-	-	3.073	0.119	0.125	1.150	0.278	0.408	4.003	0.261	0.292	-	0.387	0.645	0.066	10.668	2.370	301.951	-50.304	XMM-Newton
S0301	Annulus	1.311	0.104	0.113	1.373	0.042	0.034	1.315	0.100	0.102	1.355	0.034	0.045	-	-	-	1.719	0.271	0.337	0.276	0.292	0.711	0.023	19.239	2.560	229.003	-63.961	Chandra
S0301	Core	1.415	0.053	0.061	1.478	0.019	0.020	1.401	0.052	0.052	1.429	0.009	0.009	1.136	0.253	0.352	1.481	0.060	0.056	0.497	0.558	1.008	0.023	19.239	2.560	229.003	-63.961	Chandra
S0384	Annulus	2.427	0.350	0.646	2.675	0.268	0.255	2.212	0.294	0.448	2.429	0.150	0.172	-	-	-	3.119	0.268	0.324	0.499	0.372	1.413	0.061	10.727	1.290	246.010	-51.760	XMM-Newton
S0384	Core	2.270	0.199	0.247	2.299	0.040	0.040	1.925	0.148	0.213	2.259	0.039	0.043	1.869	0.357	0.655	2.457	0.073	0.076	-	0.627	0.697	0.061	10.727	1.290	246.010	-51.760	XMM-Newton
S0405	Annulus	-	-	-	5.019	0.291	0.299	2.838	0.331	0.478	5.133	0.459	0.551	1.312	0.192	0.411	4.565	0.402	0.440	0.535	0.652	0.713	0.049	12.668	7.370	296.421	-32.488	Chandra
S0405	Core	2.824	0.423	0.654	4.723	0.231	0.182	-	-	-	-	-	-	-	-	-	-	-	-	0.428	-	-	0.049	12.668	7.370	296.421	-32.488	Chandra
S0520	Annulus	7.152	2.255	3.913	9.522	1.071	0.891	5.048	1.545	2.453	13.950	2.723	3.791	-	-	-	7.704	0.902	1.147	0.334	1.848	0.333	0.295	4.772	2.210	262.246	-35.377	Chandra
S0540	Annulus	2.940	0.461	0.662	2.799	0.113	0.098	2.916	0.429	0.603	2.823	0.130	0.137	-	-	-	2.698	0.177	0.195	0.626	0.652	0.427	0.036	17.460	3.330	246.417	-30.291	Chandra
S0540	Core	3.438	0.438	0.522	2.963	0.041	0.041	3.305	0.425	0.511	2.998	0.082	0.086	3.526	1.207	1.559	2.949	0.092	0.094	0.873	0.947	0.743	0.036	17.460	3.330	246.417	-30.291	Chandra
S0555	Annulus	3.431	1.153	2.818	2.124	0.181	0.180	2.840	0.858	1.978	1.979	0.098	0.091	-	-	-	2.790	0.247	0.179	0.304	0.245	0.304	0.044	13.207	3.930	243.544	-26.291	XMM-Newton
S0555	Core	1.630	0.123	0.127	1.975	0.017	0.028	1.688	0.114	0.159	1.790	0.021	0.022	1.366	0.324	0.565	2.244	0.067	0.086	-	0.389	0.777	0.044	13.207	3.930	243.544	-26.291	XMM-Newton
S0592	Annulus	9.419	3.999	8.895	10.457	0.386	0.319	6.178	1.179	4.130	11.209	0.686	0.746	-	-	-	9.751	0.557	0.618	0.408	0.999	0.400	0.227	5.708	8.280	263.134	-23.433	Chandra
S0592	Core	5.537	0.845	1.258	9.381	0.201	0.316	-	-	-	9.780	0.353	0.433	13.434	5.791	11.448	8.898	0.324	0.327	0.582	0.765	0.596	0.227	5.708	8.280	263.134	-23.433	Chandra
S0753	Annulus	1.779	0.142	0.199	1.796	0.044	0.037	1.784	0.139	0.183	2.398	0.082	0.097	-	-	-	1.700	0.093	0.092	0.314	0.885	0.190	0.013	27.920	6.680	319.611	26.536	Chandra
S0753	Core	3.007	0.497	0.778	2.521	0.067	0.055	2.945	0.495	0.739	2.630	0.085	0.082	-	-	-	2.293	0.080	0.085	0.574	0.638	0.519	0.013	27.920	6.680	319.611	26.536	Chandra
S0780	Annulus	4.078	1.133	2.870	9.430	1.130	0.780	4.079	1.159	2.725	9.113	0.851	1.044	-	-	-	7.338	0.696	0.915	0.179	0.327	0.165	0.235	5.953	10.100	340.910	35.074	Chandra
S0780	Core	2.933	0.389	0.512	5.283	0.070	0.084	-	-	-	-	-	-	-	-	-	-	-	-	0.725	-	-	0.235	5.953	10.100	340.910	35.074	Chandra
S0805	Annulus	1.426	0.205	0.286	1.017	0.057	0.047	1.190	0.182	0.308	0.962	0.058	0.058	-	-	-	0.807	0.207	0.210	0.062	0.050	0.000	0.015	25.073	8.240	332.248	-23.600	Chandra
S0805	Core	1.117	0.095	0.121	1.236	0.040	0.039	-	-	-	-	-	-	-	-	-	-	-	-	0.113	-	-	0.015	25.073	8.240	332.248	-23.600	Chandra
S0810	Annulus	3.049	0.844	3.139	2.877	0.267	0.239	3.166	0.853	3.632	2.979	0.131	0.143	1.294	0.354	0.939	3.447	0.219	0.241	0.203	0.289	0.431	0.073	10.742	7.100	319.494	-27.513	XMM-Newton
S0810	Core	3.006	0.560	0.827	3.324	0.090	0.089	2.865	0.612	1.001	2.834	0.075	0.076	-	-	-	3.702	0.186	0.157	-	0.432	0.474	0.073	10.742	7.100	319.494	-27.513	XMM-Newton
S0851	Annulus	0.875	0.046	0.054	0.913	0.016	0.018	-	-	-	-	-	-	-	-	-	-	-	-	0.453	-	-	0.010	30.402	4.630	350.900	-32.639	Chandra
S0851	Core	-	-	-	0.801	0.006	0.009	0.807	0.049	0.048	0.779	0.006	0.006	-	-	-	0.351	0.077	0.170	1.378	1.361	5.000	0.010	30.402	4.630	350.900	-32.639	Chandra
S0861	Annulus	3.211	1.021	4.172	2.634	0.367	0.257	3.204	1.119	5.241	2.291	0.126	0.139	-	-	-	3.246	0.355	0.594	0.313	0.220	0.375	0.051	13.652	4.930	345.831	-34.283	XMM-Newton
S0861	Core	3.257	0.635	0.947	2.681	0.085	0.139	3.267	0.656	1.037	2.721	0.133	0.149	3.480	1.426	3.846	2.965	0.103	0.252	-	0.571	0.361	0.051	13.652	4.930	345.831	-34.283	XMM-Newton
S1063	Annulus	-	-	-	14.200	0.617	0.676	-	-	-	13.256	0.829	1.334	2.537	0.811	1.599	13.708	0.965	0.978	0.433	1.335	0.439	0.347	4.832	1.280	349.484	-59.933	Chandra
