The column name description is given below:

    "Cluster": Name of the galaxy cluster
    "Region": Region of the cluster (Annulus or Core) which we study and within which we measure the temperatures. Annulus refers to 0.2-0.5 R500 and Core to <0.2 R500.
    "T_eRO_full": eROSITA temperature in the 0.7-7 keV (full) band (units: keV)
    "T_eRO_full_low": Lower 1σ uncertainty of T_eRO_full (units: keV)
    "T_eRO_full_high": Upper 1σ uncertainty of T_eRO_full (units: keV)
    "T_CXO_XMM_full": Chandra or XMM-Newton temperature (depends on the used instrument, see last column) in the 0.7-7 keV band (units: keV)
    "T_CXO_XMM_full_low": Lower 1σ uncertainty of T_CXO_XMM_full (units: keV)
    "T_CXO_XMM_full_high": Upper 1σ uncertainty of T_CXO_XMM_full (units: keV)
    "T_eRO_soft": eROSITA temperature in the 0.5-4 keV (soft) band (units: keV)
    "T_eRO_soft_low": Lower 1σ uncertainty of T_eRO_soft (units: keV)
    "T_eRO_soft_high": Upper 1σ uncertainty of T_eRO_soft (units: keV)
    "T_CXO_XMM_soft": Chandra or XMM-Newton temperature in the 0.5-4 keV band (units: keV)
    "T_CXO_XMM_soft_low": Lower 1σ uncertainty of T_CXO_XMM_soft (units: keV)
    "T_CXO_XMM_soft_high": Upper 1σ uncertainty of T_CXO_XMM_soft (units: keV)
    "T_eRO_hard": eROSITA temperature in the 1.5-7 keV (hard) band (units: keV)
    "T_eRO_hard_low": Lower 1σ uncertainty of T_eRO_hard (units: keV)
    "T_eRO_hard_high": Upper 1σ uncertainty of T_eRO_hard (units: keV)
    "T_CXO_XMM_hard": Chandra or XMM-Newton temperature in the 1.5-7 keV band (units: keV)
    "T_CXO_XMM_hard_low": Lower 1σ uncertainty of T_CXO_XMM_hard (units: keV)
    "T_CXO_XMM_hard_high": Upper 1σ uncertainty of T_CXO_XMM_hard (units: keV)
    "Z_full": Best-fit metal abundance used in determination of T_eRO_full (fixed Z_full) and was constrained simultaneously with T_CXO_XMM_full, where Z_full was free to vary (units: solar abundance Z_solar)
    "Z_soft": Same as Z_full but for T_eRO_soft and T_CXO_XMM_soft (units: solar abundance Z_solar)
    "Z_hard": Same as Z_full but for T_eRO_hard and T_CXO_XMM_hard (units: solar abundance Z_solar)
    "z": Redshift of cluster
    "R500": Apparent R500 cluster radius (units: arcminutes)
    "NHtot": Total hydrogen column density as given in Willingale et al. (2013) (units: 1/cm^2)
    "Glon": Galactic longitude (units: degrees)
    "Glat": Galactic latitude (units: degrees)
    "CXO_XMM_telescope": Telescope used for measuring T_CXO_XMM values


#Note: Some cluster regions appear twice, due to the temperature having been measured with both Chandra and XMM-Newton. In such cases, the eROSITA temperature might differ for the same cluster region, since different masks were used and different fraction of the region is covered by Chandra and XMM-Newton, with the former sometimes not covering the full 0.2-0.5 R500 annulus.   

#Cluster	Region	T_eRO_full	T_eRO_full_low	T_eRO_full_high	T_CXO_XMM_full	T_CXO_XMM_full_low	T_CXO_XMM_full_high	T_eRO_soft	T_eRO_soft_low	T_eRO_soft_high	T_CXO_XMM_soft	T_CXO_XMM_soft_low	T_CXO_XMM_soft_high	T_eRO_hard	T_eRO_hard_low	T_eRO_hard_high	T_CXO_XMM_hard	T_CXO_XMM_hard_low	T_CXO_XMM_hard_high	Z_full	Z_soft	Z_hard	z	R500	Nhtot	Glon	Glat	CXO_XMM_telescope
A0957	Core	3.882	1.348	4.032	3.586	0.174	0.225	3.517	1.082	2.608	3.818	0.404	0.493	1.673	0.505	1.236	3.330	0.273	0.317	0.582	0.514	1.117	0.045	13.822	3.870	242.902	42.840	Chandra
A0970	Annulus	2.768	0.607	0.997	4.516	0.285	0.298	2.574	0.450	0.919	4.404	0.357	0.405	-	-	-	4.450	0.420	0.511	0.324	0.350	0.313	0.059	12.496	5.590	253.046	36.859	Chandra
A0970	Core	4.329	1.109	1.805	4.771	0.202	0.199	4.584	1.100	2.342	4.617	0.333	0.403	-	-	-	4.284	0.310	0.330	0.493	0.422	0.576	0.059	12.496	5.590	253.046	36.859	Chandra
A1033	Annulus	4.573	1.749	4.670	6.333	0.252	0.250	4.574	1.798	5.052	6.402	0.386	0.417	-	-	-	6.186	0.402	0.446	0.296	0.390	0.286	0.126	7.675	1.730	189.304	59.229	Chandra
A1033	Core	4.318	1.386	2.236	6.778	0.185	0.249	3.034	0.828	1.707	6.784	0.315	0.305	-	-	-	6.676	0.295	0.307	0.433	0.535	0.434	0.126	7.675	1.730	189.304	59.229	Chandra
A1060	Annulus	3.152	0.295	0.374	2.788	0.092	0.079	3.185	0.314	0.405	2.915	0.099	0.112	3.753	1.007	2.703	2.697	0.124	0.127	0.486	0.567	0.578	0.013	45.317	6.180	269.596	26.488	Chandra
A1084	Core	4.728	1.209	2.325	3.380	0.025	0.025	6.039	1.903	4.144	3.168	0.037	0.037	2.677	0.732	1.707	3.883	0.267	0.266	-	0.423	0.300	0.134	7.827	3.890	256.393	44.037	XMM-Newton
A1142	Annulus	1.914	0.427	1.779	2.029	0.128	0.153	1.870	0.418	2.658	2.159	0.157	0.214	-	-	-	1.929	0.251	0.298	0.192	0.291	0.421	0.035	14.074	2.440	240.077	59.151	Chandra
A1185	Core	1.579	0.187	0.297	2.481	0.093	0.099	1.436	0.131	0.263	2.380	0.108	0.121	0.149	0.028	0.107	2.558	0.198	0.195	0.418	0.396	0.692	0.031	15.621	1.950	202.972	67.749	Chandra
A1204	Core	3.275	0.615	0.977	3.853	0.088	0.098	3.541	0.819	1.464	3.924	0.151	0.157	2.325	0.759	1.919	3.714	0.146	0.159	0.518	0.641	0.509	0.171	6.199	1.360	230.650	65.455	Chandra
A1205	Annulus	6.462	3.010	7.680	4.328	0.932	0.719	2.276	0.632	2.387	4.729	0.371	0.396	1.931	0.635	2.606	5.007	0.570	0.738	0.497	0.703	0.295	0.078	9.864	4.400	255.066	56.002	XMM-Newton
A1205	Core	3.313	1.221	4.417	4.722	0.408	0.415	-	-	-	4.918	0.455	0.525	-	-	-	4.685	0.572	1.393	-	0.486	0.293	0.078	9.864	4.400	255.066	56.002	XMM-Newton
A1285	Annulus	6.843	2.247	8.637	6.400	0.260	0.310	6.726	2.099	9.632	7.024	0.571	0.615	2.104	0.681	1.293	5.797	0.460	0.502	0.487	0.863	0.548	0.095	8.753	3.880	275.201	43.878	Chandra
A1285	Core	4.959	1.601	3.616	7.233	0.424	0.505	4.482	1.547	2.440	7.942	0.759	0.846	-	-	-	6.202	0.466	0.550	0.600	0.440	0.657	0.095	8.753	3.880	275.201	43.878	Chandra
A1307	Annulus	3.302	0.763	1.311	5.386	0.405	0.297	3.584	0.993	1.399	5.624	0.477	0.538	1.958	0.683	1.439	5.229	0.452	0.518	0.445	0.511	0.470	0.083	10.552	3.260	243.664	67.753	Chandra
A1307	Core	4.711	1.290	2.377	5.453	0.226	0.254	4.101	1.021	1.659	6.401	0.624	0.665	-	-	-	5.146	0.454	0.539	0.626	1.574	0.693	0.083	10.552	3.260	243.664	67.753	Chandra
A1348	Annulus	1.929	0.328	1.124	3.906	0.318	0.084	3.057	0.995	2.915	4.041	0.202	0.213	1.825	0.642	2.501	3.623	0.214	0.209	0.428	0.589	0.300	0.113	7.384	2.980	277.351	47.091	XMM-Newton
A1348	Core	3.104	0.710	1.287	3.942	0.198	0.078	4.320	1.221	2.692	3.608	0.119	0.141	-	-	-	4.304	0.268	0.266	-	0.666	0.300	0.113	7.384	2.980	277.351	47.091	XMM-Newton
A1367	Annulus	4.118	0.593	0.913	3.812	0.011	0.010	3.659	0.455	0.636	3.933	0.042	0.042	7.249	2.721	6.834	3.647	0.046	0.040	0.333	0.403	0.304	0.021	34.765	1.890	235.084	73.015	Chandra
